MezheYeshut,GISId,MisparYeshut,MisparYeshutAv,AchuzHachtamot,AchuzHachtamotMitcham,Bayt,GushChelka,KamutDirot,KamutTziburi,kaymetminhelet,KodMinhelet,KtovetAishKesher,MachozMinhal,MahutBakasha,MechirMemutza,mitve,Rechov,SemelIishuv,ShemMitcham,ShnatBakasha,ShnatHryter,ShnatIchlus,Status,TaarichMechiraRishona,YachadKayam,YachadMutza,YachadTabo,YachadTosafti,Yazam,Yeshut,Yeshuv,BakashaLeHeter,Heter1,Ichlus1
16-649557,649557,16006644,NULL,NULL,NULL,7,NULL,NULL,NULL,לא,0,"סמ המעלות 7,רמת השרון",תל אביב,"הריסת בניין בן 3 קומות עם 18 יח""ד ובניית בנין מגורים חדש לפי רש/3838 בעל 2 אגפים הכולל 6 קומות מעל קומת כניסה, 2 מרתפי חניה, קומת גג חלקית וחדר טראפו סה""כ  56 יח""ד מתוכן:27  יח""ד לפי רש/210 א  ו-  22 יח""ד לפי רש/ 3838 + 7 יח""ד בהקלה. רשימת הקלות: - תוספת 22 יח""ד ע""פ רש/3838 - 7 יח""ד נוספות בהקלה לפי סעיף 4.1.ג ממוצע דירות כ- 100 מ""ר - תוספת 3.65 קומות ע""פ רש/3838 - תוספת שטחים ע""פ רש/3838 - ניוד זכויות בין הקומות - ניוד יח""ד בין הקומות - סגירת קומת עמודים מפולשת בגובה 2.80 מ' והפיכתה לדירות גן לפי רש/3838 - הקלה לפרגולה מבטון במקום מחומרים קלים בלבד לפי רש/679 - הקלה לגובה פרגולה 2.90 מ' במקום 2.20 מ' לפי רש/679 - הקלה לבניית פרגולה ללא נסיגה מקונטור הגג לכל הצדדים במקום במרחק של 1.20 מ' לפי רש/679 - הקלה לגובה קומת מרתף עליונה 4.50 מ' במקום 3.50 מ' לפי רש/781 - הקלה לגובה קומת מרתף תחתונה 3.50 מ' במקום 3.00 מ' לפי רש/781 - הקלה לגובה גדר לצד דרום 3.00 מ' במקום 2.00 מ' לפי רש/210 א'",NULL,"תמ""א - הריסה ובנייה מחדש",סמ המעלות,2650,NULL,2020,NULL,NULL,  הגשת בקשה להיתר,NULL,18,56,NULL,38,NULL,"תמ""א",רמת השרון,2020-12-01,NULL,NULL
16-652461,652461,16006929,NULL,NULL,NULL,17,NULL,NULL,NULL,לא,0,"שד ביאליק 17,רמת השרון",תל אביב,NULL,NULL,NULL,שד ביאליק,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-653853,653853,16007041,NULL,NULL,NULL,3,NULL,NULL,NULL,לא,0,"נעמי 3,רמת השרון",תל אביב,NULL,NULL,NULL,נעמי,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-654281,654281,16007061,NULL,NULL,NULL,9,NULL,28,NULL,לא,0,"בראשית 9,רמת השרון",תל אביב,"תמ""א 38 הריסת בניין בן 3 קומות על עמודים הכולל 9 יח""ד והקמת בניין חדש הכולל 2 קומות מרתף, קומת קרקע  + 6 קומות + קומת גג חלקית סה""כ 24 יח דיור מתוכן: 13 לפי רש/392/2 ו-11 יח""ד לפי רש/3838. מבקשים 2 קומות מרתף הכוללים 40 מקומות חניה. • הקלות בקווי בניין לפי רש/3838: o בקו בנין קדמי מערבי 4.14 מ' במקום 5.00 מ' בפינה הצפון מערבית בלבד. o בקו בנין צדי דרומי 3.45 מ' במקום 4.00 מ'. o בקו בנין אחורי מזרחי 5.60 מ' במקום 6.00 מ' • סגירת קומת עמודים מפולשת והפיכתה לדירות גן בגובה של 3.10 מ'  רש/3838. • תוספת 3.65 קומות לפי רש/3838. • תוספת 11 יח""ד מכוח רש/3838 • הקלה בניוד זכויות בין הקומות. • הקלה בשטח חלחול של 11% במקום 15% לפי רש/3838. • בליטת מסתורי שירות בקו בניין אחורי 1.13 מ' במקום 0.75 מ' לפי התקנות. • הקלות בקווי בנין למרפסות: o בקו בנין אחורי מזרחי בליטה של 2.20 מ' במקום 1.50 מ' לפי הוראות תוכנית רש/210 א'. o בקו בנין קדמי מערבי בליטה של 1.36 מ' במקום 1.20 מ' לפי הוראות תוכנית רש/210 א'.",23501,"תמ""א - הריסה ובנייה מחדש",בראשית,2650,NULL,2018,NULL,NULL,  הגשת בקשה להיתר,23/09/2019,9,24,NULL,15,NULL,"תמ""א",רמת השרון,2018-01-02,NULL,NULL
16-647313,647313,16007114,NULL,NULL,NULL,7,NULL,NULL,NULL,לא,0,"רשי"" 7,רמת השרון",תל אביב,NULL,NULL,NULL,"רשי""",2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-650861,650861,16007457,NULL,NULL,NULL,8,NULL,NULL,NULL,לא,0,"הר נבו 8,רמת השרון",תל אביב,NULL,NULL,NULL,הר נבו,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-650864,650864,16007458,NULL,NULL,NULL,36,NULL,NULL,NULL,לא,0,"שד ביאליק 36,רמת השרון",תל אביב,"הריסת בניין קיים 3 קומות על עמודים עם 9 יחד, ובניית בניין מגורים חדש בן 6 קומות וקומת גג חלקית מעל קומת קרקע, ועוד 3 מרתפי חניה, מחסנים וצובר גז. סהכ 24 יחד מתוכן: 11 יחד לפי רש/210א'+12 יחד לפי רש/3838 + 1 יחד בהקלה ההקלות המבוקשות: הקלות בקווי בניין לפי רש/210 א': בקו בניין צידי מזרחי  3.60מ' במקום4.00 מ'. בקו בניין צידי מערבי 3.60מ'  במקום 4.00 מ'. בקו בניין אחורי דרומי 3.00 מ' במקום 6.00 מ'. הקלות בקווי בניין למרפסות לפי רש/210 א': הקלה להבלטת מרפסות מקו בניין אחורי דרומי 3.00 מ' במקום 1.50 מ' לפי רש/210 א' תוספת 12 יחד לפי רש/3838 תוספת 1 יחד אחת בהקלה. תוספת 3.65 קומות לפי רש/3838 סגירת קומת עמודים מפולשת והפיכתה לדירות גן בגובה 3.08 מ'. תוספת שטחים לפי רש/3838 ניוד זכויות בין הקומות. בניית מחסנים וחדרים טכניים בקומת מרתף 3- במקום מרתף לחניה בלבד לפי רש/781 הקלה לגובה גדר מזרחית 2.40 מ' במקום 2.20 מ'",NULL,"תמ""א - הריסה ובנייה מחדש",שד ביאליק,2650,NULL,2021,NULL,NULL,  הגשת בקשה להיתר,NULL,9,24,NULL,15,NULL,"תמ""א",רמת השרון,2021-08-08,NULL,NULL
16-651666,651666,16007523,NULL,NULL,NULL,7,NULL,NULL,NULL,לא,0,"גולומב 7,רמת השרון",תל אביב,הריסת בניין קיים בן 3 קומות על עמודים עם 9 יחד  ובנית בניין מגורים חדש לפי תמא 38 בני 6 קומות וקומת גג חלקית מעל קומת קרקע ו- 3 מרתפי חניה עם 22 יחד מתוכן: 11 יחד לפי רש/210 א' + 11 יחד לפי רש/3838 ההקלות המבוקשות: הקלות בקווי בניין לפי רש/3838: בקו בניין אחורי מערבי 4.20 מ' במקום 6.00 מ' הקלות לבליטת מרפסות מקו הבניין לפי רש/210 א': בליטה מקו בניין אחורי מערבי של 3.00 מ' במקום 1.50 מ' המותרים לפי רש/210 א'. תוספת 13 יחד עפ רש/3838 תוספת 3.65 קומות עפ רש/3838 תוספת שטחים עפ רש/3838 ניוד זכויות בין הקומות סגירת קומת עמודים מפולשת בגובה 3.80 מ' והפיכתה לדירות גן לפי רש/3838 בניית מחסנים וחדרים טכניים בקומת מרתף 3- במקום מרתף לחניה בלבד לפי רש/781 הקלה לגובה פרגולה 3.30 מ' במקום 2.20 מ' לפי רש/679 הקלה לגובה קומת מרתף עליונה 3.95 מ' במקום 3.50 מ' לצורך תכנון מערכות טכניות לפי רש/781 הקלה לגובה קומת מרתף אמצעית ותחתונה 3.06 מ' ו-3.60 מ' נקודתית לצורך תכנון מאגר מים במקום 3.00 מ' לפי רש/781 הקלה לבניית פרגולה ללא נסיגה מקונטור הגג לצד מזרח במקום במרחק של 1.20 מ' לפי רש/679 הקלה לג,NULL,"תמ""א - הריסה ובנייה מחדש",גולומב,2650,NULL,2021,NULL,NULL,  הגשת בקשה להיתר,NULL,9,22,NULL,13,NULL,"תמ""א",רמת השרון,2021-08-04,NULL,NULL
16-653162,653162,16007907,NULL,NULL,NULL,4,NULL,NULL,NULL,לא,0,"רדק 4,רמת השרון",תל אביב,NULL,NULL,NULL,רדק,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-647311,647311,16008016,NULL,NULL,NULL,38,NULL,NULL,NULL,לא,0,"סוקולוב 38,רמת השרון",תל אביב,NULL,NULL,NULL,סוקולוב,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-647324,647324,16009154,NULL,NULL,NULL,3,NULL,NULL,NULL,לא,0,"סמ' האורן 3,רמת השרון",תל אביב,"הריסת בנין קיים בן 3 קומות על עמודים עם 12 יחידות דיור ובנית בניין מגורים חדש לפי תמא 38 בן 6 קומות וקומת גג חלקית מעל קומת קרקע ושלושה מרתתפי חניה, עם 28 יחידות דיור מתוכן: 11 יחידות דיור לפי רש/210 א + 17 יחד לפי רש/3838 ההקלות המבוקשות: -     תוספת 17 יחד עפ רש/3838 -     תוספת 1 יחד בהקלה -     תוספת 3.65 קומות עפ רש/3838 -     תוספת שטחים עפ רש/3838 -     ניוד זכויות בין הקומות -     סגירת קומת עמודים מפולשת בגובה 3.45 מ' והפיכתה לדירות גן לפי רש/3838 -     הקלה לגובה קומת מרתף עליונה 4.00 מ' במקום 3.50 מ' לצורך תכנון מערכות טכניות לפי רש/781 -     הקלה לגובה קומת מרתף תחתונה 3.90 מ' במקום 3.00 מ' לצורך תכנון מאגר מים לפי רש/781 -     הקלה לפרגולה מבטון במקום מחומרים קלים בלבד לפי רש/679 -                 הקלה לגובה פרגולה 3.30 מ' במקום 2.20 מ' לפי רש/679 -     קומת מרתף שלישית למתקנים טכניים במקום לחניה בלבד לפי רש/781.",NULL,"תמ""א - הריסה ובנייה מחדש",סמ' האורן,2650,NULL,2020,NULL,NULL,  הגשת בקשה להיתר,NULL,12,28,NULL,16,NULL,"תמ""א",רמת השרון,2020-06-30,NULL,NULL
16-650860,650860,16009350,NULL,NULL,NULL,35,NULL,NULL,NULL,לא,0,"סוקולוב 35,רמת השרון",תל אביב,NULL,NULL,NULL,סוקולוב,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-650863,650863,16009351,NULL,NULL,NULL,26,NULL,NULL,NULL,לא,0,"הרב אורבוך 26,רמת השרון",תל אביב,NULL,NULL,NULL,הרב אורבוך,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-650867,650867,16009352,NULL,NULL,NULL,11,NULL,NULL,NULL,לא,0,"אלי כהן 11,רמת השרון",תל אביב,הריסת מבנה קיים ובניית בנין מגורים חדש הכולל: מרתף + 3 קומות + ממד + גדרות + פיתוח שטח + חניון תת קרקעית  סהכ 5 יחד,NULL,"תמ""א - הריסה ובנייה מחדש",אלי כהן,2650,NULL,2020,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,2020-07-12,NULL,NULL
16-650869,650869,16009353,NULL,NULL,NULL,13,NULL,NULL,NULL,לא,0,"הפרדס 13,רמת השרון",תל אביב,NULL,NULL,NULL,הפרדס,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-652460,652460,16009469,NULL,NULL,NULL,9,NULL,NULL,NULL,לא,0,"אוסישקין 9,רמת השרון",תל אביב,NULL,NULL,NULL,אוסישקין,2650,NULL,NULL,NULL,NULL,    הגשת בקשה למידע,NULL,NULL,NULL,NULL,NULL,NULL,"תמ""א",רמת השרון,NULL,NULL,NULL
16-641448,641448,16001793,NULL,NULL,NULL,6,NULL,NULL,NULL,כן,2660,"הדרור 6,יבנה",מרכז,"חיזוק מבנה לפי תמ""א 38 - תוספת ממ""דים , מרפסות ו- 2 קומות",NULL,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2011,2013,2016,אכלוס,NULL,17,33,NULL,16,NULL,"תמ""א",יבנה,2011-09-19,2013-08-19,2016-03-15
16-641446,641446,16000060,NULL,NULL,NULL,54,NULL,NULL,NULL,כן,2660,"הדרור 54,יבנה",מרכז,"חיזוק בנין מגורים קיים בן 16 יח""ד ב- 4 קומות עם עמודים לפי הנחיות תמ""א 38 הכולל תוספת 2.5 קומות,סגירת קומת עמודים מפולשת שכולל תוספת 4 יח""ד, לובי משותף ,בניית מעלית. סה""כ תוספת 14 יח""ד כולל מרפסת וממ""ד ( 30 יח""ד בסה""כ )",NULL,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2014,2015,2018,אכלוס,NULL,16,30,NULL,14,NULL,"תמ""א",יבנה,2014-07-08,2015-11-11,2018-05-28
16-641453,641453,16001642,NULL,NULL,NULL,2,NULL,12,3,כן,2660,"הערבה 2,יבנה",מרכז,"חיזוק  בנין מגורים קיים לפי הנחיות תמ""א 38 סגירת קומת עמודים מפולשס . תוספת ממד""ם ,מרפסות לדירות קיימות+ הוספת 2.5 קומות . סה""כ מבקשים תוספת 12 יח""ד כאשר 2 דירות בקומת קרקע ו-10 דירות בקומות מעל",11923,"תמ""א - חיזוק ועיבוי",הערבה,2660,NULL,2014,2015,2017,אכלוס,03/12/2015,12,24,NULL,12,NULL,"תמ""א",יבנה,2014-08-07,2015-08-09,2017-09-05
16-641454,641454,16002644,NULL,NULL,NULL,4,NULL,12,1,כן,2660,"הערבה 4,יבנה",מרכז,"חיזוק  בנין מגורים קיים עפי הנחיות תמ""א 38, סגירת  קומת עמודים. תוספת ממ""דים ,מרפסות לדירות קיימות +הוספת 2.5 סה""כ מבקשים  תוספת 12 יח""ד כאשר 2 דירות בקומת קרקע ו-10 דירות בקומות מעל.",12024,"תמ""א - חיזוק ועיבוי",הערבה,2660,NULL,2014,2015,2017,אכלוס,08/12/2015,12,24,NULL,12,NULL,"תמ""א",יבנה,2014-08-07,2015-08-10,2017-09-05
16-641439,641439,16002218,NULL,NULL,NULL,2,NULL,13,NULL,כן,2660,"הדרור 2,יבנה",מרכז,"חיזוק בנין מגורים קיים בן 16 יח""דעפ""י הנחיות תמ""א 38, כולל תוספת 2.5 קומות וסגירת קומת עמודים+ 2 מעליות. סה""כ הוספת 13 יח""ד הכוללות ממ""ד ומרפסת (גזוזטרה)",12086,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2013,2016,2018,אכלוס,17/03/2016,16,29,NULL,13,NULL,"תמ""א",יבנה,2013-05-30,2016-02-17,2018-07-16
16-641437,641437,16000059,NULL,NULL,NULL,15,NULL,14,NULL,כן,2660,"הדרור 15,יבנה",מרכז,"חיזוק והרחבת מבנה לפי תמ""א 38, תוספת 2.5 קומות בהן 10 יח""ד, ו-4 יח""ד בקרקע, ממ""דים, מעלית, מרפסות. תוספת לבניין קיים בן 4 קומות על עמודים עם 16 יח""ד קיימות- בסה""כ יהיו 30 יח""ד.",16879,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2015,2017,2021,אכלוס,25/08/2017,16,30,NULL,14,NULL,"תמ""א",יבנה,2015-11-10,2017-07-31,2021-04-12
16-641436,641436,16001639,NULL,NULL,NULL,13,NULL,14,NULL,כן,2660,"הדרור 13,יבנה",מרכז,"חיזוק והרחבת מבנה לפי תמ""א 38. תוספת 2.5 קומות בהן 10 יח""ד, ו-4 יח""ד בקרקע, ממ""דים, מעלית, ומרפסות. תוספת לבניין קיים בן 4 קומות על עמודים עם 16 יח""ד קיימות- בסה""כ יהיו 30 יח""ד.",16879,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2015,2017,2021,אכלוס,25/08/2017,16,30,NULL,14,NULL,"תמ""א",יבנה,2015-11-10,2017-07-31,2021-04-12
16-641449,641449,16001794,NULL,NULL,NULL,8,NULL,NULL,NULL,כן,2660,"הדרור 8,יבנה",מרכז,NULL,NULL,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2013,2017,2019,אכלוס,NULL,17,30,NULL,13,NULL,"תמ""א",יבנה,2013-12-19,2017-01-26,2019-05-12
16-641445,641445,16001927,NULL,NULL,NULL,50,NULL,23,1,כן,2660,"הדרור 50,יבנה",מרכז,"מהות הבקשה: חיזוק  שני בניינים קיימים  בני 4    קומות על קומת  עמודים  לפי הנחיות תמ""א38 תקנה 3 . הכוללת תוספת 2.5 קומות המכילות 14 יח""ד חדשות לכל בניין(סה""כ 28 לשני הבניניים)  סגירת קומת עמודים תוך יצירה של 4 יח""ד לכל בניין( 8 יח""ד לשני בניניים) לובי משו",17367,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2015,2017,2020,אכלוס,02/10/2017,32,60,NULL,28,NULL,"תמ""א",יבנה,2015-11-10,2017-07-31,2020-02-17
16-641435,641435,16002080,NULL,NULL,NULL,11,NULL,NULL,NULL,כן,2660,"הדרור 11,יבנה",מרכז,NULL,NULL,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2014,2017,2020,אכלוס,NULL,16,29,NULL,13,NULL,"תמ""א",יבנה,2014-02-13,2017-12-18,2020-01-19
16-641447,641447,16002643,NULL,NULL,NULL,56,NULL,10,2,כן,2660,"הדרור 56,יבנה",מרכז,"מהות הבקשה: חיזוק בנין מגורים קיים בן 4 קומות על קומת  עמודים סה""כ 16 יח""ד לפי הנחיות תמ""א38 תקנה 3 . הכוללת תוספת 2.5 קומות המכילות 10 יח""ד חדשות  סגירת קומת עמודים תוך יצירה של 4 יח""ד לובי משותף ובניית מעלית. סה""כ  תוספת של 14 יח""ד מוצעות בנוסף ל 16 יח""",16411,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2015,2017,2020,אכלוס,26/09/2017,16,30,NULL,14,NULL,"תמ""א",יבנה,2015-09-21,2017-08-02,2020-08-27
16-641442,641442,16000199,NULL,NULL,NULL,4,NULL,2,1,כן,2660,"הדרור 4,יבנה",מרכז,"חיזוק בניין מגורים קיים עפ""י הנחיות תמ""א 38, כולל תוספת 2.5 קומות וסגירת קומת עמודים+ 2 מעליות. סה""כ הוספת 13 יח""ד הכוללות ממ""ד ומרפסת (גזוזטרה).",18799,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2014,2019,2021,אכלוס,27/12/2020,16,29,NULL,13,NULL,"תמ""א",יבנה,2014-02-10,2019-09-15,2021-10-26
16-641443,641443,16002641,NULL,NULL,NULL,43,NULL,11,NULL,כן,2660,"הדרור 43,יבנה",מרכז,"חיזוק בנין מגורים קיים בן 16 יח""ד עפ""י הנחיות תמ""א 38,הכולל תוספת 2.5 קומות וסגירת קומת עמודים,סה""כ הוספת 14 יח""ד הכוללות ממ""ד ומרפסת (גזוזטרה). סה""כ 30 יח""ד",17924,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2018,2021,NULL, היתר,19/01/2022,16,30,NULL,14,NULL,"תמ""א",יבנה,2018-10-15,2021-11-16,NULL
16-641444,641444,16002642,NULL,NULL,NULL,45,NULL,10,NULL,כן,2660,"הדרור 45,יבנה",מרכז,"חיזוק בנין מגורים קיים בן 16 יח""ד עפ""י הנחיות תמ""א 38,הכולל תוספת 2.5 קומות וסגירת קומת עמודים,סה""כ הוספת 14 יח""ד הכוללות ממ""ד ומרפסת (גזוזטרה).",17804,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2018,2021,NULL, היתר,26/01/2022,16,30,NULL,14,NULL,"תמ""א",יבנה,2018-10-17,2021-11-16,NULL
16-641433,641433,16000197,NULL,NULL,NULL,5,NULL,NULL,NULL,כן,2660,"הלילך 5,יבנה",מרכז,"חיזוק בניין מגורים קיים ע""פי הנחיות תמ""א 38,כולל תוספת 2.5 קומות, סגירת קומת עמודים+תוספת מעליות וממ""דים . סה""כ תוספת 14 יח""ד ל-24 יח""ד קיימות.סה""כ 26 יח""ד",NULL,"תמ""א - חיזוק ועיבוי",הלילך,2660,NULL,2018,2022,2022,אכלוס,NULL,12,26,NULL,14,NULL,"תמ""א",יבנה,2018-03-07,2022-03-03,2022-09-11
16-641441,641441,16000198,NULL,NULL,NULL,31,NULL,13,2,כן,2660,"הדרור 31,יבנה",מרכז,"חיזוק והרחבת בנין מגורים דו-אגפי קיים בן 32 יח""ד, מתוקף תמ""א 38: מילוי קומת עמודים קיימת ב- 4 יח""ד, תוספת 20 יח""ד ב-2.5 קומות חדשות, תוספת ממ""דים, מרפסות ומעליות והתקנת חניה תת-קרקעית. לאחר החיזוק יהיה הבנין בן 7 קומות מעל קומת קרקע, 56 יח""ד.",16526,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2018,2022,NULL, היתר,29/08/2021,32,58,NULL,26,NULL,"תמ""א",יבנה,2018-05-06,2022-09-07,NULL
16-641440,641440,16001640,NULL,NULL,NULL,27,NULL,16,NULL,כן,2660,"הדרור 27,יבנה",מרכז,"חיזוק והרחבת בנין מגורים דו-אגפי קיים בן 32 יח""ד, מתוקף תמ""א 38: מילוי קומת עמודים קיימת ב- 4 יח""ד, תוספת 20 יח""ד ב-2.5 קומות חדשות, תוספת ממ""דים, מרפסות ומעליות והתקנת חניה תת-קרקעית, לאחר החיזוק יהיה הבנין בן 7 קומות מעל קומת קרקע, 56 יח""ד.",17710,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2018,2022,NULL, היתר,18/04/2021,32,58,NULL,26,NULL,"תמ""א",יבנה,2018-05-06,2022-09-07,NULL
16-641432,641432,16001792,NULL,NULL,NULL,3,NULL,13,2,כן,2660,"הלילך 3,יבנה",מרכז,"חיזוק בניין מגורים קיים ע""פי הנחיות תמ""א 38,כולל תוספת 2.5 קומות, סגירת קומת עמודים+תוספת מעליות וממ""דים . סה""כ תוספת 18 יח""ד ל-24 יח""ד קיימות.סה""כ 42 יח""ד",15309,"תמ""א - חיזוק ועיבוי",הלילך,2660,NULL,2018,2022,NULL, היתר,11/05/2021,24,48,NULL,24,NULL,"תמ""א",יבנה,2018-03-07,2022-03-08,NULL
16-649563,649563,16002453,NULL,NULL,NULL,2,NULL,10,NULL,כן,2660,"הזמיר 2,יבנה",מרכז,"חיזוק בנין מגורים קיים בן 4 קומות מעל קומת עמודים. 16 יחד קיימות,הכוללות תוספת 2.5 קומות ובהן 14 יחד מוצעות. מילוי קומת עמודים ויצירת 4 יחד. לובי משותף ותוספת מעלית.סהכ מוצעות 14  יחד בנוסף ל-16 יחד קיימות.סהכ 30 יחד",34162,"תמ""א - חיזוק ועיבוי",הזמיר,2660,NULL,2019,2022,2022,אכלוס,27/03/2022,16,29,NULL,13,NULL,"תמ""א",יבנה,2019-09-24,2022-08-15,2022-09-11
16-649562,649562,16004533,NULL,NULL,NULL,46,NULL,NULL,NULL,כן,2660,"הדרור 46,יבנה",מרכז,מהות הבקשה: חיזוק  שני בניינים קיימים  בני 4    קומות על קומת  עמודים  לפי הנחיות תמא38 תקנה 3 . הכולל תוספת 2.5 קומות  +סגירת קומת עמודים -הוספת של 29 יחד הכוללות ממד ומרפסת-סהכ 61 יחד.,NULL,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2019,2022,NULL, היתר,NULL,32,58,NULL,26,NULL,"תמ""א",יבנה,2019-08-20,2022-02-06,NULL
16-653856,653856,16007946,NULL,NULL,NULL,20,NULL,NULL,NULL,כן,2660,"חרמון 20,יבנה",מרכז,"הריסת מבנה מגורים קיים. מגרש 101 - בניין מגורים בן 23 קומות מעל הכניסה  הקובעת ו-3 קומות מתחת לכניסה הקובעת, 94 יחד ומבנה ציבור. כולל צובר גז. מגרש 601 - חניון תת קרקעי מתחת לשצפ.",NULL,"תמ""א - הריסה ובנייה מחדש",חרמון,2660,NULL,2021,2022,NULL, היתר,NULL,0,94,NULL,94,NULL,"תמ""א",יבנה,2021-05-05,2022-06-26,NULL
16-641434,641434,16000058,NULL,NULL,NULL,10,NULL,NULL,NULL,כן,2660,"הדרור 10,יבנה",מרכז,"חיזוק בנין מגורים קיים בן 16 יח""ד עפ""י הנחיות תמ""א 38, כולל תוספת  2.5 2.5 וסגירת קומת עמודים+ 2 מעליות. סה""כ הוספת 13 יח""ד הכוללות ממ""ד ומרפסת (גזוזטרה)",NULL,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2013,NULL,NULL,  הגשת בקשה להיתר,NULL,16,29,NULL,13,NULL,"תמ""א",יבנה,2013-05-30,NULL,NULL
16-641450,641450,16001641,NULL,NULL,NULL,4,NULL,9,NULL,כן,2660,"הזמיר 4,יבנה",מרכז,"חיזוק והרחבת בנין מגורים קיים מתוקף תמ""א 38 בן 4 קומות ו-16 יחידות דיור- סגירת קומת העמודים והוספת 3 יח""ד, תוספת 2.5 קומות ובהן 10 יחידות דיור, הרחבת דירות קיימות, סה""כ יהיו בבנין 29 יח""ד. חפירת מרתף חניה משותף עם החלקה הצמודה.",18203,"תמ""א - חיזוק ועיבוי",הזמיר,2660,NULL,2018,NULL,NULL,  הגשת בקשה להיתר,24/04/2021,16,29,NULL,13,NULL,"תמ""א",יבנה,2018-05-31,NULL,NULL
16-641451,641451,16001928,NULL,NULL,NULL,6,NULL,NULL,NULL,כן,2660,"הזמיר 6,יבנה",מרכז,"חיזוק והרחבת בנין מגורים קיים מתוקף תמ""א 38  בן 4 קומות ו-16 יחידות דיור- סגירת קומת עמודים והוספת 3 יח""ד, תוספת 2.5 קומות המכילות 10 יח""ד, הרחבת דירות קיימות, סה""כ יהיו בבנין 29 יח""ד. חפירת מרתף חניה משותף עם החלקה הצמודה.",NULL,"תמ""א - חיזוק ועיבוי",הזמיר,2660,NULL,2018,NULL,NULL,  הגשת בקשה להיתר,NULL,16,29,NULL,13,NULL,"תמ""א",יבנה,2018-05-30,NULL,NULL
16-641452,641452,16001929,NULL,6.25,1,7,NULL,NULL,1,כן,2660,"השחף 7,יבנה",מרכז,"תוספת לבנין מגורים קיים - ע""פ תמ""א 38",NULL,"תמ""א - חיזוק ועיבוי",השחף,2660,NULL,2007,NULL,NULL,  הגשת בקשה להיתר,NULL,16,16,16,0,אלמוגים ביבנה בעמ,"תמ""א",יבנה,2007-03-26,NULL,NULL
16-641438,641438,16002217,NULL,NULL,NULL,17,NULL,NULL,NULL,כן,2660,"הדרור 17,יבנה",מרכז,"חיזוק והרחבת מבנה לפי תמ""א 38 לבניין קיים בן 4 קומות עם 16 יח""ד ,תוספת של 2.5 קומות 10 יח""ד, ו - 4 יח""ד בקומת עמודים מפולשת+ ממ""דים ,מעלית + מרפסות. סה""כ 30יח""ד יחד.",NULL,"תמ""א - חיזוק ועיבוי",הדרור,2660,NULL,2018,NULL,NULL,  הגשת בקשה להיתר,NULL,16,30,NULL,14,NULL,"תמ""א",יבנה,2018-03-26,NULL,NULL
